model,mean_hv,std_hv,population_size,generations,seeding_prop,ones_prop,crossover_prob,mutation_prob,ls_start,ls_end
SVC,32.442253521126766,0.2030515075035488,100,20,0.15,0.01,0.8,0.03,0.1,0.5
SVC,32.42535211267605,0.16483086015017132,100,20,0.35,0.0,0.9,0.07,0.25,0.7
SVC,32.33802816901409,0.13450519871902414,100,20,0.2,0.01,0.5,0.09,0.2,0.6
SVC,32.22816901408451,0.02423190216068493,100,20,0.2,0.04,0.4,0.1,0.15,0.7
SVC,32.50140845070423,0.17217697791477196,100,20,0.2,0.0,0.7,0.09,0.25,0.7
SVC,32.49577464788732,0.19866645276062625,100,20,0.2,0.01,0.6,0.07,0.15,0.6
SVC,32.34084507042253,0.1538760595351863,100,20,0.1,0.05,0.5,0.01,0.3,0.8
SVC,32.48732394366198,0.21015670370247308,100,20,0.2,0.0,0.6,0.09,0.3,0.7
SVC,32.50704225352112,0.17295866403390103,100,20,0.3,0.02,1.0,0.03,0.15,0.7
SVC,32.515492957746474,0.18050162640677028,100,20,0.2,0.04,0.9,0.03,0.15,0.3
SVC,32.45352112676056,0.17213088583044758,100,20,0.35,0.04,0.4,0.1,0.2,0.7
SVC,32.41971830985916,0.15232119250248746,100,20,0.4,0.0,0.7,0.1,0.1,0.7
SVC,32.4281690140845,0.16938925496758256,100,20,0.1,0.0,0.9,0.1,0.3,0.4
SVC,32.49295774647887,0.17926650790645057,100,20,0.35,0.03,0.6,0.03,0.3,0.6
SVC,32.56619718309859,0.14593615602240587,100,20,0.35,0.05,1.0,0.09,0.1,0.3
SVC,32.40845070422535,0.18428650404277294,100,20,0.2,0.05,0.4,0.03,0.05,0.7
SVC,32.46760563380282,0.16722053047499666,100,20,0.35,0.0,0.4,0.01,0.05,0.7
SVC,32.43098591549296,0.16679291654183265,100,20,0.25,0.01,1.0,0.09,0.05,0.3
SVC,32.611267605633806,0.0328504332103962,100,20,0.1,0.02,1.0,0.09,0.15,0.5
SVC,32.44225352112676,0.19117610705303803,100,20,0.25,0.01,0.7,0.1,0.15,0.3
SVC,32.58028169014084,0.14374479799631804,100,20,0.25,0.03,0.5,0.01,0.05,0.3
SVC,32.47042253521126,0.15724265619101682,100,20,0.35,0.0,0.5,0.07,0.2,0.8
SVC,32.473239436619714,0.1952825916894297,100,20,0.2,0.01,0.6,0.07,0.2,0.7
SVC,32.51267605633802,0.18312025873966212,100,20,0.25,0.01,0.7,0.03,0.2,0.4
SVC,32.436619718309856,0.17837904449563335,100,20,0.2,0.02,1.0,0.1,0.1,0.4
SVC,32.44507042253521,0.18006148523376578,100,20,0.2,0.05,0.5,0.07,0.1,0.4
SVC,32.35774647887324,0.12426335211331298,100,20,0.3,0.02,0.5,0.05,0.25,0.3
SVC,32.51830985915493,0.19360946791481387,100,20,0.4,0.03,1.0,0.1,0.05,0.5
SVC,32.50422535211267,0.1832935040563104,100,20,0.25,0.03,1.0,0.01,0.15,0.7
SVC,32.34084507042253,0.11931165399744893,100,20,0.15,0.02,0.6,0.01,0.2,0.5
SVC,32.49577464788733,0.18501703519631496,100,20,0.15,0.0,0.6,0.1,0.3,0.5
SVC,32.48169014084507,0.1755542135310731,100,20,0.1,0.05,0.7,0.03,0.25,0.6
SVC,32.48450704225352,0.17784444076241773,100,20,0.15,0.0,0.7,0.03,0.25,0.3
SVC,32.411267605633796,0.17623089937596653,100,20,0.35,0.03,0.8,0.09,0.15,0.5
SVC,32.433802816901405,0.1753280712067109,100,20,0.35,0.05,0.8,0.03,0.05,0.3
SVC,32.33802816901409,0.14308084618817118,100,20,0.2,0.03,0.7,0.09,0.05,0.8
SVC,32.34084507042254,0.11140123906076259,100,20,0.35,0.0,0.8,0.01,0.05,0.3
SVC,32.4112676056338,0.18480247286599022,100,20,0.25,0.04,0.7,0.01,0.3,0.6
SVC,32.29014084507042,0.1384586560838804,100,20,0.2,0.05,0.4,0.03,0.25,0.8
SVC,32.5830985915493,0.15185162785288456,100,20,0.15,0.01,0.9,0.01,0.25,0.3
SVC,32.42535211267606,0.18799519677142196,100,20,0.1,0.03,0.5,0.03,0.2,0.3
SVC,32.45352112676056,0.17869015805243427,100,20,0.1,0.03,0.4,0.05,0.05,0.6
SVC,32.4,0.17309624220548953,100,20,0.35,0.03,0.5,0.09,0.25,0.7
SVC,32.50422535211267,0.1946313765647852,100,20,0.1,0.0,0.8,0.09,0.05,0.5
SVC,32.43380281690141,0.18199014428408977,100,20,0.15,0.04,0.9,0.1,0.1,0.7
SVC,32.349295774647885,0.14346852482531683,100,20,0.15,0.01,0.9,0.07,0.1,0.7
SVC,32.349295774647885,0.12194287786993482,100,20,0.1,0.05,0.6,0.01,0.05,0.3
SVC,32.57464788732394,0.14067595480770573,100,20,0.2,0.05,0.8,0.1,0.1,0.8
SVC,32.49577464788732,0.16410717367469824,100,20,0.3,0.05,1.0,0.05,0.05,0.6
SVC,32.419718309859164,0.18111602710623695,100,20,0.2,0.03,0.5,0.01,0.25,0.5
SVC,32.391549295774645,0.16722053047499666,100,20,0.1,0.03,0.7,0.05,0.25,0.7
SVC,32.44507042253521,0.1890894247531093,100,20,0.2,0.02,0.9,0.09,0.05,0.3
SVC,32.5718309859155,0.13497632169815219,100,20,0.2,0.03,0.8,0.01,0.2,0.3
SVC,32.498591549295774,0.1831202587396617,100,20,0.1,0.03,0.8,0.1,0.2,0.5
SVC,32.47323943661972,0.1672679756541244,100,20,0.4,0.05,0.6,0.07,0.05,0.6
SVC,32.25352112676056,0.021819624485673497,100,20,0.4,0.02,0.4,0.1,0.15,0.5
SVC,32.57746478873239,0.15505756557208958,100,20,0.25,0.04,0.5,0.03,0.25,0.3
SVC,32.63098591549296,0.04120771503754282,100,20,0.4,0.02,0.8,0.01,0.2,0.8
SVC,32.50704225352113,0.18407109017131973,100,20,0.4,0.05,1.0,0.09,0.15,0.3
SVC,32.4281690140845,0.16938925496758148,100,20,0.2,0.03,0.8,0.03,0.15,0.8
SVC,32.54647887323944,0.14620776644913822,100,20,0.35,0.05,0.8,0.05,0.3,0.4
SVC,32.48732394366198,0.1874033507434348,100,20,0.3,0.02,0.4,0.07,0.2,0.3
SVC,32.56901408450704,0.13018839445962047,100,20,0.2,0.0,0.8,0.09,0.15,0.3
SVC,32.4225352112676,0.17992923293150728,100,20,0.25,0.01,0.6,0.03,0.05,0.4
SVC,32.57464788732395,0.14836275022268872,100,20,0.35,0.05,1.0,0.07,0.05,0.7
SVC,32.5830985915493,0.1523732770287152,100,20,0.3,0.04,0.7,0.03,0.1,0.4
SVC,32.515492957746474,0.17514694711785767,100,20,0.3,0.04,0.9,0.09,0.05,0.5
